,Word,Definition,Verb
48,adimpleo,"['to fulfill', 'perform\n']",True
49,adinventitias,"[' (?) Herimann', 'cap 2\n']",False
50,adipiscor,"['to come up to', 'overtake', 'obtain \n']",True
51,adiuvo,"['to help', 'aid', 'assist\n']",True
52,administratio,"['giving of help', 'administration', 'government\n']",False
53,admiratio,"['wonder', 'astonishment', 'surprise', 'admiration\n']",False
54,admiror,"['to wonder at', 'admire', 'marvel at\n']",True
55,admitto,"['to admit', 'receive\n']",True
56,admoneo,"['admonish', 'advise\n']",False
57,admonitio,"['warning', 'reminder (insult - Herimann', 'p 282)\n']",False
58,admoveo,"['to move to', 'bring up', 'apply\n']",True
59,adnuo,['to nod assent\n'],True
60,adopto,"['to wish for oneself', 'adopt', 'select', 'pick out \n']",True
61,adsidue assidue,"['continuously', 'without remission\n']",False
62,adstringo,"['(persons) bind', 'oblige', '(+ refl) commit oneself to\n']",False
63,adstringo,"['to tight', 'compress', 'compact / \n']",True
64,adstringo,"['to draw together', 'tighten', 'bind\n']",True
65,adsuesco assuesco,"['to grow accustomed to', 'used to', 'make familiar\n']",True
66,adsum,"['to assist', 'be present', 'be near', 'be in attendance', '\n']",True
67,adsumo (assumo),"['to take to oneself', 'claim', 'appropriate', 'call \n']",True
68,adulatio,"['fawning', 'flattery', 'sycophancy', 'buttering up\n']",False
69,adulescens,"['young man', 'youth', 'lad\n']",False
70,adulescentia,['youth\n'],False
71,adultus,"['(adj) grown up', 'mature', 'adult', 'of age\n']",False
72,aduro (adustum),"['to set fire to', 'burn', 'singe', 'kindle', 'light\n']",True
73,advenio,"['to come', 'arrive', 'reach\n']",True
74,adversus,"['(prep + acc) toward', 'against', 'facing\n']",False
75,adversus,"['(adj) facing', 'opposite', 'opposing\n']",False
76,adverto,"['to turn towards', ""direct one's attention to"", 'attract\n']",True
77,advoco,"['to summon', 'call / call in an advisor\n']",True
78,aedificium  edificium,"['building', 'structure\n']",False
79,aeger eger,"['sick', 'ill\n']",False
80,aegre  egre,"['(adv) hardly', 'scarcely', 'with difficulty', 'laboriously\n']",False
81,aegresco egresco,"['to fall ill', 'become troubled', 'grow worse\n']",True
82,aegresco,"['to become ill', 'grow worse', 'be ill\n']",True
83,aegretudo egretudo,"['sickness', 'mental illness\n']",False
84,aegrotatio egrotatio,"['sickness', 'illness\n']",False
85,aegrus,"['ill', 'diseased', 'unwell\n']",False
86,aeneus  eneus,"['made of copper or bronze', 'brazen\n']",False
87,aequitas equitas,"['justice', 'fairness', 'equity\n']",False
88,"aequus, equus","['level', 'even', 'calm', 'equal', 'favorable', 'just\n']",False
89,"aer, aeris","['air', 'atmosphere', 'ether', 'weather\n']",False
90,aestas  estas,['summer\n'],False
91,aestivus  estivus,['pertaining to summer \n'],False
92,aestus  estus,"['heat', 'tide\n']",False
93,aetas,"['an age', 'stage', 'period of life', 'time', 'era\n']",False
94,aeternus eternus,"['eternal', 'everlasting', 'without end\n']",False
95,"Affligeniensis, Haffligeniensis",['Afflighem\n'],False
96,ager (agri),"['farm', 'field', 'acre\n']",False
97,aggero,"['to make a mound', 'heap up', 'increase\n']",True
98,aggredior,"['to go to', 'approach', 'address', 'attack\n']",True
99,agnitio,"['recognition', 'knowledge\n']",False
100,agnosco,"['to know again', 'recognize', 'report', 'understand', 'admit\n']",True
101,agnosco,['acknowledge\n'],False
102,agnosco,"['to recognize', 'understand', 'perceive\n']",True
103,ago (egi actum ),"['to spend time', 'live / manage', 'drive', 'lead\n']",True
104,ait,['he says\n'],False
105,aiunt: ,['they say\n'],False
106,Aldenard,['Audenarde\n'],False
107,alienus,"[""somebody else's"", 'foreign', 'alien', 'strange', 'different\n']",False
108,alii ... alii,['some  others\n'],False
109,alioqui,['(adv) otherwise\n'],False
110,alioquin,"['(adv) otherwise', 'in some respects / in general\n']",False
111,aliqua,['some\n'],False
112,aliquando,"['at any time', 'sometimes', 'occasionally', 'at last\n']",False
113,aliquanta,"['(adj) moderate', 'or some size\n']",False
114,aliquanto,"['somewhat', 'considerably\n']",False
115,aliquantum,['(noun) a good deal\n'],False
116,aliquantus,"['(adj) of some size', 'moderate\n']",False
117,aliqui,['some\n'],False
118,aliquid,"['someone', 'somebody', 'something\n']",False
119,aliquis,"['someone', 'anyone', 'anything', '(adv) in any respect\n']",False
120,aliquo,['(adv) in some direction\n'],False
121,aliquot,"['some', 'several\n']",False
122,aliquotiens,['some times\n'],False
123,alius  alia  aliud,"['other', 'another', 'someone else', 'something else\n']",False
124,allatus (=adfero),['having been brought\n'],False
125,alo (alui  altum),"['nourish', 'cherish', 'support', 'sustain', 'maintain', 'keep \n']",False
126,Alos,['lquod: some\n'],False
127,alter,['(adv) otherwise\n'],False
128,alter  altera  alterum,"['the second', 'the other one\n']",False
129,alter ... alter,['the one  the other\n'],False
130,altus,"['high', 'deep\n']",False
131,alveus,"['hollow', 'basket', 'bed (of a river)\n']",False
132,amaritudo,['bitterness\n'],False
133,Ambianis,['Amiens\n'],False
134,ambitus,"['border', 'edge', 'extent / going around', 'circuit\n']",False
135,ambulo,['to walk\n'],True
136,amicitia,['friendship\n'],False
137,amiculum,"['cloak', 'cape\n']",False
138,amicus,"['friend', 'comrade\n']",False
139,amissio / amissus,['loss\n'],False
140,amita,"[""father's sister"", 'paternal aunt\n']",False
141,amitto,"['to dismiss', 'send away', 'lose', 'let slip away\n']",True
142,amitto,"['to send away', 'let go', 'let slip', 'lose\n']",True
143,amo,"['to love', 'like', 'be fond of', 'cherish\n']",True
144,amor,"['love', 'affection', 'infatuation', 'passion\n']",False
145,amoveo,"['to move away', 'remove', 'take out', 'shift\n']",True
146,amplexus,"['mplio : to enlarge', 'increase', 'improve\n']",False
147,amplitudo,"['size', 'breadth', 'dignity', 'grandeur', 'greatness\n']",False
148,amplus,"['large', 'spacious', 'ample / great important', 'honorable\n']",False
149,an,"['(adv) or  ""Are you going OR are you staying?""\n']",False
150,ancilla,"['maidservant', 'also used by nuns to describe themselves\n']",False
151,Andegavense,['Anjou\n'],False
152,angelus,['angel\n'],False
153,angulus,"['corner', 'niche\n']",False
154,angustus,"['narrow', 'limited', 'strait', 'tight', 'constricted\n']",False
155,animadverto,"['to turn the mind to', 'take notice of', 'see', 'perceive\n']",True
156,animi,['at heart\n'],False
157,animus,"['courage', 'vivacity', 'bravery', 'will', 'spirit', 'soul\n']",False
158,animus,"['character', 'intellect', 'memory', 'consciousness', 'often mind \n']",False
159,annus,['year\n'],False
160,anser,['goose\n'],False
161,ante,"['(prep + acc) before / in front of / (adv) before', 'previously\n']",False
162,antea,"['(adv) before', 'previously', 'formerly\n']",False
163,antepono,"['(+ dat) put before', 'prefer', 'favor', 'promote\n']",False
164,antiquus,"['ancient', 'old', 'hoary', '\n']",False
165,aperio,"['to uncover', 'lay bare', 'reveal', 'make clear\n']",True
166,aperte,"['openly', 'frankly\n']",False
167,apostolus,['(legal) notice sent to a higher tribunal / ecc Apostle\n'],False
168,apparatus,"['equipment', 'gear', 'machinery / splendor', 'magnificence\n']",False
169,appareo,"['to become visible', 'appear', 'manifest\n']",True
170,appello,"['to call', 'name', 'summon\n']",True
171,appono,"['to appoint a person', 'to add something\n']",True
172,appono,"['to place near', 'put to', 'serve', 'put on the table\n']",True
173,appositus,"['placed near', 'approaching', 'appropriate', 'appositively\n']",False
174,approbo,['to approve\n'],True
175,appropinquo,"['(+ dat) to near', 'drawn near', 'come close', 'approach\n']",False
176,apto,"['to fit', 'adapt', 'adjust', 'make ready', 'or fit\n']",True
177,aptus,"['fitted', 'connected', 'fastened / prepared', 'fitted out\n']",False
178,aptus,"['suitable', 'appropriate', 'fitting\n']",False
179,apud,"['(prep + acc) among', 'in the presence of', 'at', 'at the house of\n']",False
180,aqua,['water\n'],False
181,ara,['altar\n'],False
182,aranea,"[""spider's web\n""]",False
183,arbitro arbitror,"['to witness', 'bear witness / judge', 'arbitrate\n']",True
184,arbor,['tree\n'],False
185,arbustum,['a vineyard planted with trees\n'],False
186,arbustus,['planted with trees\n'],False
187,arca archa,"['chest', 'box', 'money box', 'coffin', 'cell\n']",False
188,arceo,"['to shut up', 'enclose\n']",True
189,"arcesso, accerso","['to bring', 'fetch', 'summon', 'call for\n']",True
190,arcus,"['bow (BOW and arrows)', 'arch', 'bend', 'arc\n']",False
191,argentum,"['silver', 'money\n']",False
192,argumentum,"['proof', 'evidence\n']",False
193,arguo,"['to show', 'make clear', 'attempt to show\n']",True
194,arma,"['arms', 'weapons\n']",False
195,armarium,"['cupboard', 'chest', 'safe (for food', 'clothing', 'money)\n']",False
196,armo,"['to provide arms', 'arm', 'equip', 'fit out\n']",True
197,aro,['to plow\n'],True
198,"ars, artis","['skill method', 'technique', 'conduct', 'character\n']",False
199,articulus,"['(of time) a moment', 'crisis\n']",False
200,artificiose,['skillfully\n'],False
201,artificiosus,"['skillful', 'accomplished', 'skillfuly made\n']",False
202,arto,"['to press together', 'reduce', 'abridged\n']",True
203,"arx , arcis","['citadel', 'stronghold', 'fortress', 'keep', 'donjon\n']",False
204,ascisco,"['to receive', 'admit / adopt / take up', 'approve\n']",True
205,ascit,['\n'],False
206,asper,"['rough', 'harsh', 'severe\n']",False
207,asperitas,"['roughness', 'severity / harshness', 'fierceness\n']",False
208,aspicio,"['to look at', 'behold', 'gaze at', 'see\n']",True
209,asporto,"['to carry off', 'take away\n']",True
210,assentator,"['flatterer', 'sycophant', 'yes-man\n']",False
211,astrum,"['star', 'constellation\n']",False
212,Asvesniis,['of Avesnes\n'],False
213,at,['(conj) but (more emphatic and emotional than sed) \n'],False
214,atavus,"['great-great-great grandfather', 'ancestor\n']",False
215,ater atra atrum,['dark\n'],False
216,atqui,"['(conj) and yet', 'still\n']",False
217,Atrebatum,['Arras\n'],False
218,atrocitas,"['hashness', 'cruelty', 'frightfulness', 'barbarity', 'horror \n']",False
219,atrox,"['terrible', 'cruel', 'horror\n']",False
220,attero,"['destroy', 'waste', 'weaken', 'impair\n']",False
221,attero,"['to weaken', 'ruin', 'rub against', 'rub away', 'erode\n']",True
222,attollo,"['to raise', 'lift up', 'elevate / excite', 'exalt\n']",True
223,attonbitus,"['frantic', 'inspired', 'thunder-struck', 'stunned\n']",False
224,auctor,"['author', 'originator\n']",False
225,auctoritas,['authority\n'],False
226,auctus,"['growth', 'enlargement', 'increase\n']",False
227,audacia,"['boldness', 'dash', 'daring', 'audacity\n']",False
228,"audacter, audaciter","['boldly', 'proudly', 'fearlessly\n']",False
229,audax,['bold\n'],False
230,audentia,"['boldness', 'courage\n']",False
231,audeo(part. ausus ),['to dare \n'],True
232,audio,"['to hear', 'hearken', 'listen to\n']",True
233,auditor,"['hearer', 'listener\n']",False
234,aufero,"['to carry away', 'remove / steal', 'carry off', 'make away with\n']",True
235,aureus,['golden\n'],False
236,auris,['ear\n'],False
237,Aurissiodorenses,"['Auxerre', 'dept Yonne', 'between Paris and Dijon\n']",False
238,aurum,['gold\n'],False
239,aut ... aut,['either  or\n'],False
240,autem,"['moreover', 'however', 'but', 'also\n']",False
241,autus,"['increase', 'enlargement', 'growth \n']",False
242,Auxatia,['Alsace\n'],False
243,auxilium,"['aid', 'help', 'assistance', 'support\n']",False
244,avaritia,"['avarice', 'greed\n']",False
245,avarus,"['greedy', 'avaricious\n']",False
246,aveho,"['to carry away', 'remove  (avexi  avectum )\n']",True
247,averto,"['to turn away', 'avert', 'avoid turn back\n']",True
248,Avesniis,['Avesnes\n'],False
249,avoco,"['to call away', 'divert\n']",True
250,balbus,"['stammering', 'stuttering', 'fumbling\n']",False
251,barba,"['beard', 'whiskers\n']",False
252,bardus,"['stupid', 'slow', 'dull\n']",False
253,basium,['kiss\n'],False
254,beatus,"['blessed', 'fortunate', 'sometimes ""saint""\n']",False
255,bellicus,"['martial', 'military', 'war-like\n']",False
256,bellum,['war\n'],False
257,bellus,"['beautiful', 'pretty', 'charming', 'handsome\n']",False
258,benemelioroptime,"['well', 'better', 'best \n']",False
259,beneficium,"['benefit', 'favor', 'service', 'privilege', 'right\n']",False
260,benevolentia,"['benevolence', 'kindness', 'good will\n']",False
261,benigne,"['kindly', 'generously\n']",False
262,Berlinmonte,"['Berlaimont', 'near Le Quesnoy\n']",False
263,bestia,"['animal', 'beast\n']",False
264,bibo,"['to drink', 'quaff\n']",True
265,bis,['twice \n'],False
266,blandior,"['to flatter', 'caress', '(+ dat) coax\n']",True
267,blanditia,"['blandishments', 'attractions', 'allurement', 'charm\n']",False
268,Blesense,['Blois\n'],False
269,Boloniense,['Bouillon\n'],False
270,bonus melior optimus,"['good', 'better', 'best\n']",False
271,bos (bovis ),"['cow', 'ox', 'bull\n']",False
272,Brabatensium,['Brabant\n'],False
273,Brachants,['Brabant\n'],False
274,brevis,"['short', 'small', 'brief\n']",False
275,brevitas,"['shortness', 'brevity\n']",False
276,breviter,['briefly\n'],False
277,Brocherota,['Broqueroi\n'],False
278,caecus,"['blind', 'sightless\n']",False
279,caelestis,"['heavenly', 'celestial / noun', 'a god', 'dweller in heaven\n']",False
280,caelum,"['sky', 'heaven\n']",False
281,calamitas,"['calamity', 'misfortune', 'disaster\n']",False
282,calamus,"['anything made or reed -- pen', 'arrow', 'pipe', 'etc\n']",False
283,"calcar, -is",['spur\n'],False
284,calco,"['to tread', 'trample upon\n']",True
285,calculus,"['pebble', 'stone\n']",False
286,callide,"['skillfully', 'cleverly / cunningly', 'slyly', 'subtly\n']",False
287,callidus,"['clever', 'dextrous', 'experienced', 'skilful / cunning', 'sly\n']",False
288,Cameracum,['Cambrai\n'],False
289,campana,['bell\n'],False
290,candidus,"['bright', 'shining', 'white\n']",False
291,canis,['dog\n'],False
292,canonicus,"['canonical', 'according to the canons', 'legal', 'lawful', 'right\n']",False
293,canonus,"['canon', 'member of a cathedral chapter or canonry', 'Augustinian\n']",False
294,canto,['to sing\n'],True
295,capillus,['hair\n'],False
296,capio,"['to seize', 'take', 'choose / attack', 'injure / comprehend\n']",True
297,capitulus,"['chapter', 'chapter meeting', 'chapter house\n']",False
298,capto,"['to grab', 'try to get', 'grab at\n']",True
299,caput capitis,"['head / top', 'summit / chief\n']",False
300,carbo carbonis,"['carbon', 'coal', 'charcoal\n']",False
301,carcer,"['prison', 'cell', 'jail', 'dungeon\n']",False
302,careo,"['(+ abl of sep) be without', 'be deprived of', 'lack', 'want \n']",False
303,caries,"['rottenness', 'corruption', 'decay\n']",False
304,cariosus,"['rotten', 'decayed\n']",False
305,caritas,"['dearness', 'affection / charity\n']",False
306,carmen,"['song', 'poem\n']",False
307,Carnotense,['Chartres\n'],False
308,Carnutum Carnotum,['Chartres\n'],False
309,carpo,"['to pluck', 'seize', 'grab', 'lay hold of', 'hold on to\n']",True
310,carus,"['dear', 'beloved / costly', 'high-priced', 'expensive\n']",False
311,casso,"['to bring to naught', 'destroy', 'annul', 'make void \n']",True
312,caste,"['purely', 'spotlessly', 'purely', 'uprightly', 'chastely\n']",False
313,Castellandum,['Chateaudun\n'],False
314,casus,"['accident', 'chance', 'fortune\n']",False
315,catena,"['chain', 'fetters\n']",False
316,caterva,"['crowd', 'troop', 'flock\n']",False
317,catervatim,"['in troops', 'in masses\n']",False
318,Cathalaunenses,['Chalons\n'],False
319,cattus,['cat\n'],False
320,cauda,['the tail of an animal\n'],False
321,causa,"['(in the abl) on account of', 'for the sake of\n']",False
322,causa,"['cause / reason', 'motive', 'pretext / interest\n']",False
323,causa,"['case at law', 'case', 'law-suit / situation', 'condition\n']",False
324,caute cautim,"['cautiously', 'with security\n']",False
325,cautela,"['caution', 'precaution', 'security\n']",False
326,caveo cavi cautum,"['beware', 'avoid', 'look out for\n']",False
327,cavus,"['hole', 'pit \n']",False
328,cedo,"['to go', 'proceed / turn out', 'happen / go away', 'withdraw\n']",True
329,cedo cessi cessum,"['to grant', 'yield\n']",True
330,cedo,"['(+ dat) give ground to', 'submit to', 'be inferior to \n']",False
331,celebrer,"['famous', 'renowned\n']",False
332,celebrus,"['abounding in', 'rich in', 'much frequented', 'respected\n']",False
333,celer,"['quick', 'swift', 'rapid', 'speedy', 'fast\n']",False
334,celeritas,"['speed', 'swiftness', 'rapidity', 'quickness\n']",False
335,celeriter,"['rapidly', 'quickly', 'swiftly', 'speedily\n']",False
336,celo,"['to hide', 'conceal', 'keep secret\n']",True
337,cena,"['dinner', 'meal\n']",False
338,cenaculum,"['garret', 'attic\n']",False
339,ceno,['to dine\n'],True
340,censura,['judgement\n'],False
341,centum,"['(indecl) one hundred', '100\n']",False
342,cerno,"['to separate', 'sift', 'distinguish / decide', 'resolve', 'determine\n']",True
343,cernuus,['falling headlong\n'],False
344,certe certo,"['(adv) certainly', 'assuredly\n']",False
345,certo,"['to contend', 'settle', 'dispute', 'to settle by combat\n']",True
346,certus,"['undoubted', 'certain', 'sure\n']",False
347,certus,"['settled', 'resolved', 'decided / definite', 'certain', 'sure\n']",False
348,cervus,"['stag', 'deer\n']",False
349,cetera,"['for the rest', 'otherwise\n']",False
350,ceteri,"['the remaining', 'the rest', 'the others\n']",False
351,ceterum,"['(adv) otherwise', 'moreover', 'but\n']",False
352,ceterus,"['the other', 'the rest\n']",False
353,charisma carisma,"['gift', 'present\n']",False
354,chirographum,"['autograph', ""person's own handwriting / written charter\n""]",False
355,cibo,['food for animals\n'],False
356,cibus,['food for men and animals\n'],False
357,cicuta,['hemlock\n'],False
358,cilicium,"['(? Herimann', 'p 311)\n']",False
359,cimentarius,['mason?\n'],False
360,ciminatio,"['accusation', 'calumny', 'charge\n']",False
361,ciminosus,"['reproachful', 'slanderous\n']",False
362,cinis cineris,"['ashes', 'embers\n']",False
363,circumvenio,"['to come around', 'surround', 'cheat', 'defraud\n']",True
364,circumvenio,"['to beset', 'assail\n']",True
365,cito: ,"['quickly', 'rapidly', 'speedily\n']",False
366,civilis,"['civil', 'civic\n']",False
367,civis,"['citizen', 'townsman', 'bourgeois', 'burgess\n']",False
368,civitas,"['state', 'citizenship', 'city-state\n']",False
369,clam,"['secretly', 'in secret\n']",False
370,clamo,"['to call', 'shout', 'cry aloud', 'proclaim', 'declare\n']",True
371,clamor,"['loud shouting', 'cry\n']",False
372,claro,"['to make bright or clear', 'make clear in the mind\n']",True
373,clarus,"['clear', 'bright / renowned', 'famous', 'illustrious\n']",False
374,claudeo,"['to limp', 'halt', 'be lame', 'to hobble\n']",True
375,claudo (clausus),"['to confine', 'shut up', 'close', 'blockade', 'besiege\n']",True
376,claudus,['lame\n'],False
377,claustrum,"['bolt', 'bar', 'prison', 'den', 'pen', 'enclosure / cloister\n']",False
378,clementia,"['indulgence', 'forbearance', 'humanity', 'mercy', 'gentleness', 'etc\n']",False
379,clibanus,"['oven', 'furnace / tray for bread making\n']",False
380,coadunatio,"['a gathering together', 'a summing up', 'a uniting\n']",False
381,coaegresco,['to become sick at the same time\n'],True
382,coepi(pres. incipio ),"['began', 'started', 'undertook', 'initiated\n']",False
383,coerceo,"['surround', 'enclose', 'restrain', 'confine\n']",False
384,cogito,"['to think', 'ruminate', 'ponder', 'consider', 'plan\n']",True
385,cognatus,"['(adj) related by blood  (noun) a relative', 'kinsman \n']",False
386,cognomen,"['surname', 'family name', 'nick-name\n']",False
387,cognosco,"['to examine', 'inquire', 'learn\n']",True
388,"cogo, coegi, coactum","['to compel', 'restrict', 'confine\n']",True
389,"cogo, coegi, coactum","['to bring together', 'drive', 'draw\n']",True
390,cohaero cohero cohesi cohesum,"['to adhere', 'stick together\n']",True
391,cohibeo,"['confine', 'restrain', 'hold back', 'repress\n']",False
392,cohors,"['a yard', 'enclosure / troop', '1 / 10 of a legion\n']",False
393,cohortor,"['to encourage', 'incite', 'exhort\n']",True
394,colligo,"['to gather together', 'collect', 'assemble\n']",True
395,colloco,"['to place', 'put', 'arrange\n']",True
396,collum,['neck\n'],False
397,colo colui cultum,"['cultivate', 'cherish\n']",False
398,color,['color\n'],False
399,coloratus,['colored / dark-complexioned\n'],False
400,coloro,['to color\n'],True
401,coma,"['hair of the head', 'leaves', 'rays of light\n']",False
402,combibo,"['to drink up', 'suck in\n']",True
403,comburo,"['to burn up', 'to ruin', 'consume\n']",True
404,comedo comedi comesum,"['to eat up', 'consume / waste', 'squander\n']",True
405,comes comitis,"['companion', 'friend', 'comrade / count\n']",False
406,cometes,['comet\n'],False
407,cometissa comitissa,['countess\n'],False
408,comis,"['courteous', 'kind', 'friendly\n']",False
409,comitatus,"['train', 'retinue', 'following / war band\n']",False
410,comiter,"['courteously', 'in a kindly', 'friendly manner\n']",False
411,comitto,"['to entrust', 'commit\n']",True
412,commemoro,"['to remind', 'relate', 'mention\n']",True
413,commeo,"['To go up and down', 'back and forth', 'in and out\n']",False
414,"commessatio, onis",['eating together\n'],False
415,comminor,['to threaten\n'],True
416,comminuo,"['to scatter', 'weaken', 'damage\n']",True
417,comminus,"['hand to hand', 'in close combat\n']",False
418,commisceo,"['to intermingle', 'join', 'mix\n']",True
419,commissum,"['undertaking', 'that which is entrusted\n']",False
420,commodo,"['(+ acc) to furnish', 'lend', 'give\n']",False
421,commodo,"['to make fit', 'adapt', 'please', 'oblige', 'serve\n']",True
422,commodum,"['suitable time', 'opportunity', 'convenience', 'use\n']",False
423,commodum,"['convenience', 'advantage', 'opportunity', 'comfort\n']",False
424,commoneo,['to remind someone forcibly of something\n'],True
425,commoneo,"['to remember', 'recollect\n']",True
426,commoneo,['to impress upon one to remind\n'],True
427,commoveo,"['to move violently', 'disturb', 'shake / excite', 'upset\n']",True
428,communis,"['common', 'general', 'run of the mill\n']",False
429,comparo,['to compare\n'],True
430,compater,"[""the godfather of a man's child\n""]",False
431,compatior,"['to suffer with one', 'feel pity', 'have compassion\n']",True
432,compello,"['to drive together', 'collect', 'force', 'compel\n']",True
433,comperio,"['to disclose wholly', 'lay open / learn', 'find out\n']",True
434,comperio,"['to disclose fully', 'find out with certainty\n']",True
435,comperte,['on good authority\n'],False
436,"compes, compedis","['fetters', 'shackles', 'chained\n']",False
437,compes,"['fetters', 'shackles', 'chains\n']",False
438,competo,"['to be appropriate', 'suitable', 'fit\n']",True
439,complectus,"['embrace', 'grasp\n']",False
440,compleo,['to finish\n'],True
441,compleo,"['to fill up', 'man', 'bring up to strength', 'fulfill \n']",True
442,compono,"['to put together', 'compose\n']",True
443,compositio,"['composition', 'agreement', 'pact / arrangement\n']",False
444,compositus,"['orderly', 'matching', 'made up of pieces\n']",False
445,comprehendo,"['to seize', 'arrest', 'take prisoner', 'catch red-handed\n']",True
446,comprehendo,"['to grasp', 'take together', 'unite / comprehend\n']",True
447,comprehendo,"['to embrace', 'take firmly', 'include', 'seize\n']",True
448,comprobo,"['to approve fully / to confirm', 'prove', 'establish\n']",True
449,comprovincialis,['born in the same province\n'],False
450,comptus,"['a head-dress', 'a hairband\n']",False
451,conatus,"['exertion', 'effort / undertaking / impulse', 'inclination\n']",False
452,concedo,"['to concede', 'yield', 'allow', 'grant', 'withdraw', 'give up\n']",True
453,concepta,"['measures', 'capacity\n']",False
454,concero,"['connect join', 'twine', 'join in conflict\n']",False
455,concido,"['to fall down', 'sink', 'perish / (wind) subside\n']",True
456,concido,"['to be ruined', 'fail / cut up', 'cut down', 'destroy\n']",True
457,concilium,['council\n'],False
458,concipio,"['to take or lay hold of', 'receive', 'take in\n']",True
459,concisus,"['cut up', 'broken', 'brief', 'concise\n']",False
460,concito,"['to move violently', 'stir up', 'excite\n']",True
461,conculco,"['to tread under foot', 'despise', 'oppress', 'suppress\n']",True
462,concupiscentia,"['avarice', 'covetousness\n']",False
463,concupisco,"['to covet', 'aim at', 'desire eagerly \n']",True
464,concutio,"['to shake', 'disturb', 'agitate\n']",True
465,concutio,"['to shake together', 'agitate', 'alarm', 'disturb', 'shatter\n']",True
466,Condato,['\n'],False
467,condico,"['to agree', 'fix', 'settle', 'make arrangements\n']",True
468,conduco,"['hire', 'employ for wages', 'among many other meanings\n']",False
469,confero,"['to bring together', 'put together', 'collect / \n']",True
470,confero,"['discuss', 'debate', 'confer / betake oneself', 'devote\n']",False
471,confestim,"['immediately', 'without delay\n']",False
472,confido,"['have confidence in', 'be confident of', 'rely upon\n']",False
473,confiteor  confessus,"['to confess', 'own up', 'admit', 'acknowledge\n']",True
474,conforto,['to strengthen much\n'],True
475,confugo,"['to flee', 'have recourse to', 'take refuge\n']",True
476,congregatio,"['assembly', 'society', 'union\n']",False
477,congrego,"['to gather together', 'assemble', 'convene\n']",True
478,congruus,"['agreeing', 'fit', 'suitable\n']",False
479,conicio,"['to hurl', 'throw / put together', 'conjecture\n']",True
480,coniecto,"['to throw together', 'infer', 'guess', 'conclude\n']",True
481,conitor,"['to press upon', 'to struggle to reach\n']",True
482,coniuratio,"['conspiracy', 'plot\n']",False
483,coniuratus,"['conspirator', 'plotter\n']",False
484,coniuro,"['to take an oath together', 'plot', 'conspire\n']",True
